class,Q,A
BeastStateScaping.cs,What does the function 'OnStateActivated' do in BeastStateScaping class?," ```csharp
public override void OnStateActivated(BeastManager.State lastState) {
    //set the destination to the beast's spawn position (it is near the hideout)
    navMeshAgent.SetDestination(BeastManager.BeastSpawnOnMeshPos.position);
    //set the navMeshAgent speed to fast(beast runs to its hiding place)
    navMeshAgent.speed = Constants.BeastFastSpeed;
}
``` "
BeastStateScaping.cs,What is the name of the field that stores the current state of Beast?," ```csharp
public override BeastManager.State State { get; protected set; } = BeastManager.State.Escaping;
``` "
BeastStateScaping.cs,Why does the beast have a 'speed' variable?," ```csharp
//set the navMeshAgent speed to fast(beast runs to its hiding place)
navMeshAgent.speed = Constants.BeastFastSpeed;
``` "
BeastStateScaping.cs,How does the BeastStateScaping class set the destination that the Beast will move to?," ```csharp
//set the destination to the beast's spawn position (it is near the hideout)
navMeshAgent.SetDestination(BeastManager.BeastSpawnOnMeshPos.position);
``` "
BeastStateScaping.cs,What is the update interval for the BeastStateScaping state?," ```csharp
public override void Update() {
        LookAt(beastTransform.forward);

        //check if the beast reached its hiding place
        if (navMeshAgent.remainingDistance < 3.1f) {
            //beast reached its hideout, change state to sleep
            changeState(BeastManager.State.Sleep);
            return;
        }


        //set the destination to the beast's spawn position (it is near the hideout)
        navMeshAgent.SetDestination(BeastManager.BeastSpawnOnMeshPos.position);
    }
``` "
BeastStateScaping.cs,"In the BeastStateScaping class, How does the beast look around?"," ```csharp
LookAt(beastTransform.forward);
``` "
BeastStateScaping.cs,What happens if the navMeshAgent.remainingDistance is greater than 3.1f?," ```csharp
navMeshAgent.speed = Constants.BeastFastSpeed;
``` "
BeastStateSleep.cs,What is the purpose of the BeastStateSleep class?,"BeastStateSleep class represents the sleep state of the beast. When the power is on, the beast enters the sleep state and becomes inactive"
BeastStateSleep.cs,What does the State property represent?,"The State property is an override of the State property in the BeastState base class. It returns the current state of the beast, which, for the BeastStateSleep class, is BeastManager.State.Sleep."
BeastStateSleep.cs,What happens in the Update method of the BeastStateSleep class?,"In the Update method, the beast looks at the BeastManager's BeastSleepPos position, always keeping its gaze towards it."
BeastStateSleep.cs,What occurs when the BeastStateSleep state is activated?,"When the BeastStateSleep state is activated, certain variables are reset, the navMeshAgent component is disabled, and the beast moves to its hideout position. Once it reaches the hideout, the beast becomes inactive and its game object is deactivated."
BeastStateSleep.cs,What is the purpose of the BeastManager.BeastSleepPos.position property?,BeastManager.BeastSleepPos.position represents the position where the beast should move to when entering the sleep state.
BeastStateSleep.cs,How does the beast move to its hideout position?,"The beast uses DOTween utility to move to its hideout position smoothly, with an ease-in cubic animation. The movement takes one second to complete."
BeastStateSleep.cs,What happens after the beast reaches its hideout position?,"Once the beast reaches its hideout position, its game object is deactivated, effectively hiding it from the player's view."
BeastStateSleep.cs,How does the beast's speed and navMeshAgent component behave in the BeastStateSleep state?,"In the BeastStateSleep state, the beast's speed is reset to its normal value, and the navMeshAgent component is disabled, preventing the beast from moving autonomously."
BeastStateSleep.cs,Can the beast transition from the BeastStateSleep state to other states?,This information is not available in the given context.
BeastStateSleep.cs,Does the speed of the beast's movement to the hideout position affect the gameplay?,This information is not available in the given context.
BeastStateSleep.cs,What is the enum that represents the current state of the beast in 'BeastStateSleep.cs' ?," ```csharp
public override BeastManager.State State { get; protected set; } = BeastManager.State.Sleep;
``` "
BeastStateSleep.cs,How does the beast prevent the player from seeing it after the power is turned on in 'BeastStateSleep.cs' ?," ```csharp
beastTransform.DOMove(BeastManager.BeastSleepPos.position, 1f).SetEase(Ease.InCubic).OnComplete((() => {
beastTransform.gameObject.SetActive(false);
}));
``` "
BeastStateSleep.cs,What is the purpose of the Update method in 'BeastStateSleep.cs' ?," ```csharp
public override void Update() {
LookAt(BeastManager.BeastSleepPos.position);
}
``` "
BeastStateSleep.cs,What is the code used to set the speed of the beast's movement in 'BeastStateSleep.cs' ?," ```csharp
navMeshAgent.speed = normalSpeed;
``` "
BeastStateSleep.cs,Which code is executed when the beast is activated in 'BeastStateSleep.cs' ?," ```csharp
public override void OnStateActivated(BeastManager.State lastState) {
//reset some variables and deactivate the navMeshAgent component
navMeshAgent.speed = normalSpeed;
navMeshAgent.enabled = false;

//move the beast to its hideout position, out of the player's sight and deactivate it there
beastTransform.DOMove(BeastManager.BeastSleepPos.position, 1f).SetEase(Ease.InCubic).OnComplete((() => {
beastTransform.gameObject.SetActive(false);
}));
}
``` "
BeastStateSleep.cs,How does the beast look at the player in 'BeastStateSleep.cs' ?," ```csharp
LookAt(BeastManager.BeastSleepPos.position);
``` "
BeastStateSleep.cs,In what state does the beast start when the power is on in 'BeastStateSleep.cs' ?," ```csharp
public override BeastManager.State State { get; protected set; } = BeastManager.State.Sleep;
``` "
BeastStateSleep.cs,Which code is executed when the beast is deactivated in 'BeastStateSleep.cs' ?," ```csharp
beastTransform.gameObject.SetActive(false);
``` "
BeastStateSleep.cs,What is the name of the method that is called when the beast is activated in 'BeastStateSleep.cs' ?," ```csharp
public override void OnStateActivated(BeastManager.State lastState) {
//reset some variables and deactivate the navMeshAgent component
navMeshAgent.speed = normalSpeed;
navMeshAgent.enabled = false;

//move the beast to its hideout position, out of the player's sight and deactivate it there
beastTransform.DOMove(BeastManager.BeastSleepPos.position, 1f).SetEase(Ease.InCubic).OnComplete((() => {
beastTransform.gameObject.SetActive(false);
}));
}
``` "
BeastStateSleep.cs,What is the name of the method that is called when the beast is updated in 'BeastStateSleep.cs' ?," ```csharp
public override void Update() {
LookAt(BeastManager.BeastSleepPos.position);
}
``` "
GlobalEventHub.cs,What is the purpose of the GlobalEventHub class?,"The GlobalEventHub.cs class implements the EventHub design pattern, which allows communication between components without referencing each other."
GlobalEventHub.cs,How does the EventHub design pattern work?,"The EventHub design pattern has two parts: an event (a delegate) that holds references to methods to be executed when the event is triggered, and a static method that invokes the event delegate."
GlobalEventHub.cs,What is the purpose of the OnGameStart event?,The OnGameStart event is a global game event triggered by the GameStarter class to signify the start of the game.
GlobalEventHub.cs,How do other classes subscribe to the OnGameStart event?,"To subscribe to the OnGameStart event, a class can add a delegate pointing to the method it wants to execute when the event is triggered."
GlobalEventHub.cs,How do classes trigger the OnGameStart event?,"To trigger the OnGameStart event, a class can call the GameStart() static method."
